Date,maxt,mint,avgt,pcpn,snow,snwd
1988-01-01,41,27,34.0,0.03,0.0,0
1988-01-02,39,20,29.5,0.00,0.0,0
1988-01-03,41,27,34.0,T,0.1,0
1988-01-04,39,20,29.5,0.00,0.0,0
1988-01-05,24,13,18.5,0.00,0.0,0
1988-01-06,22,11,16.5,T,0.1,0
1988-01-07,23,16,19.5,0.73,8.1,5
1988-01-08,23,18,20.5,T,T,7
1988-01-09,29,6,17.5,0.00,0.0,7
1988-01-10,32,9,20.5,0.00,0.0,5
1988-01-11,40,5,22.5,0.00,0.0,4
1988-01-12,43,29,36.0,0.01,0.0,3
1988-01-14,33,15,24.0,0.00,0.0,0
1988-01-15,46,23,34.5,0.00,0.0,0
1988-01-16,55,32,43.5,0.00,0.0,0
1988-01-17,50,39,44.5,0.51,0.0,0
1988-01-18,58,47,52.5,T,0.0,0
1988-01-19,65,52,58.5,2.36,0.0,0
1988-01-20,60,41,50.5,0.00,0.0,0
1988-01-21,41,33,37.0,0.00,0.0,0
1988-01-22,41,30,35.5,T,T,0
1988-01-23,50,32,41.0,0.00,0.0,0
1988-01-24,49,30,39.5,0.03,0.0,0
1988-01-25,42,15,28.5,0.03,0.3,0
1988-01-27,35,13,24.0,0.00,0.0,0
1988-01-28,58,22,40.0,0.00,0.0,0
1988-01-29,62,34,48.0,0.00,0.0,0
1988-01-30,65,39,52.0,0.00,0.0,0
1988-01-31,64,56,60.0,0.03,0.0,0
1988-02-01,64,59,61.5,0.23,0.0,0
1988-02-02,64,43,53.5,0.55,0.0,0
1988-02-03,53,43,48.0,T,0.0,0
1988-02-04,48,28,38.0,0.16,0.0,0
1988-02-05,30,12,21.0,0.00,0.0,0
1988-02-06,25,5,15.0,0.00,0.0,0
1988-02-07,44,10,27.0,0.00,0.0,0
1988-02-08,46,27,36.5,0.00,0.0,0
1988-02-09,48,26,37.0,T,0.0,0
1988-02-10,56,25,40.5,0.00,0.0,0
1988-02-11,47,18,32.5,0.26,1.2,0
1988-02-12,22,14,18.0,T,0.1,1
1988-02-13,34,17,25.5,T,T,1
1988-02-15,51,24,37.5,0.09,0.1,0
1988-02-17,65,30,47.5,0.00,0.0,0
1988-02-18,57,36,46.5,T,0.0,0
1988-02-19,52,43,47.5,0.36,0.0,0
1988-02-20,50,30,40.0,0.00,0.0,0
1988-02-21,45,21,33.0,0.00,0.0,0
1988-02-22,70,32,51.0,0.00,0.0,0
1988-02-23,59,31,45.0,0.16,0.0,0
1988-02-24,46,23,34.5,0.00,0.0,0
1988-02-25,46,17,31.5,0.00,0.0,0
1988-02-26,60,19,39.5,0.00,0.0,0
1988-02-27,65,36,50.5,0.00,0.0,0
1988-02-28,60,25,42.5,0.00,0.0,0
1988-02-29,59,29,44.0,0.00,0.0,0
1988-03-01,59,25,42.0,0.00,0.0,0
1988-03-02,71,34,52.5,T,0.0,0
1988-03-03,71,50,60.5,0.50,0.0,0
1988-03-04,61,35,48.0,0.14,0.0,0
1988-03-05,43,33,38.0,0.00,0.0,0
1988-03-06,52,28,40.0,0.00,0.0,0
1988-03-07,64,29,46.5,0.00,0.0,0
1988-03-08,66,38,52.0,0.01,0.0,0
1988-03-09,58,44,51.0,0.47,0.0,0
1988-03-10,52,32,42.0,0.06,0.0,0
1988-03-11,68,29,48.5,0.00,0.0,0
1988-03-12,58,47,52.5,0.10,0.0,0
1988-03-13,49,33,41.0,0.00,0.0,0
1988-03-14,37,24,30.5,T,T,0
